subjectID	date	age	"dominant hand (1-right, 2-left)"	"gender(1-female, 2-male)"	Notes
1	3.9.17	37	1	2	
2	3.9.17	23	1	1	
3	3.9.17	24	1	1	
4	5.9.17	21	1	1	
5	5.9.17	25	2	1	
6	5.9.17	22	1	1	
7	5.9.17	26	1	2	
8	5.9.17	24	1	1	
9	7.9.17	24	1	1	
10	7.9.17	40	1	2	
11	10.9.17	24	2	2	
12	10.9.17	27	1	2	
13	13.9.17	21	1	1	
14	13.9.17	27	1	2	
15	14.9.17	23	1	2	
16	14.9.17	25	1	1	
17	17.9.17	27	1	1	
18	17.9.17	30	1	2	
19	25.9.17	24	1	2	
20	25.9.17	NaN	NaN	1	
21	25.9.17	27	1	1	
22	27.9.17	27	2	2	
23	27.9.17	32	1	1	
25	28.9.17	26	1	2	
26	28.9.17	23		1	
27	1.10.17	27	1	1	
28	1.10.17	26	2	1	
29	2.10.17	NaN	NaN	1	
30	2.10.17	24	1	1	
31	3.10.17	22	1	2	
32	3.10.17	24	1	1	
33	3.10.17	26	1	2	
34	15.10.17	24	1	1	
35	16.10.17	24	1	2	
36	16.10.17	20	1	1	
37	16.10.17	20	1	1	
38	17.10.17	NaN	NaN	1	
39	17.10.17	NaN	NaN	2	
41	18.10.17	26	1	1	
42	18.10.17	25	1	1	
43	18.10.17	26	1	1	
44	22.10.17	23	1	1	
45	22.10.17	26	1	1	
46	24.10.17	27	1	1	
47	25.10.17	23	1	1	
48	25.10.17	22	1	1	
49	25.10.17	30	1	2	
51	29.10.17	24	1	1	
52	29.10.17	20	1	1	
53	29.10.17	24	2	1	
54	30.10.17	25	1	1	
55	31.10.17	NaN	NaN	1	
56	8.11.17	25	1	1	
57	8.11.17	23	1	1	
58	8.11.17	24	2	1	
59	9.11.17	21	1	1	
60	9.11.17	24	1	1	
61	9.11.17	23	1	1	
62	13.11.17	25	2	1	
63	13.11.17	25	2	2	
64	14.11.17	23	1	1	
65	15.11.17	24	1	2	
67	15.11.17	22	1	1	
68	15.11.17	25	1	1	
69	15.11.17	24	1	2	
70	16.11.17	24	2	1	
71	16.11.17	22	1	1	
72	16.11.17	24	1	1	
73	21.12.17	25	1	2	
74	24.12.17	24	1	2	
75	24.12.17	24	2	1	
76	27.12.17	24	1	1	
77	27.12.17	26	1	2	
78	27.12.17	22	1	1	
79	28.12.17	24	1	1	
80	28.12.17	29	1	1	
81	31.12.17	27	1	1	
82	31.12.17	27	1	1	
83	1.1.18	24	1	1	
85	2.1.118	24	1	1	
